,Lyon,Marseille,Toulouse,Grenoble,Nantes,Strasbourg,Lille,Clermant-Ferrant,Bordeaux,Nice,Paris
Lyon,0.0,314.19,537.902,111.392,685.486,492.495,690.953,165.187,556.31,471.151,466.049
Marseille,313.682,0.0,403.715,305.607,985.69,801.366,999.824,473.715,645.407,198.825,774.92
Toulouse,537.754,403.681,0.0,529.679,585.173,942.491,894.6,375.891,244.89,560.642,679.108
Grenoble,114.463,306.363,530.075,0.0,793.236,528.897,799.86,272.937,664.06,463.324,574.956
Nantes,685.314,986.09,584.866,793.304,0.0,865.43,599.998,534.024,346.925,1143.051,384.505
Strasbourg,492.819,802.127,943.959,529.336,865.312,0.0,524.716,628.014,943.078,784.321,490.244
Lille,691.63,1000.938,893.804,801.422,600.318,524.834,0.0,638.426,800.031,1157.899,225.202
Clermant-Ferrant,166.849,474.617,376.867,274.839,536.118,630.179,639.369,0.0,375.985,631.578,423.876
Bordeaux,556.279,645.752,244.529,664.27,353.465,941.882,806.014,375.282,0.0,802.713,590.522
Nice,470.847,198.105,560.88,462.772,1142.855,784.886,1156.989,630.88,802.572,0.0,932.085
Paris,465.612,774.92,678.081,575.403,384.595,491.327,225.425,422.703,584.309,931.881,0.0
